frame	phase	watch_values
1560	inject	00E7=9A 002A=A7 002C=33 001F=DC 002D=90 001C=DC 0020=08 04F1=00 04FA=30 04FB=3D 04FC=3E 04FD=3F 0720=00 0721=00 0722=00 0723=00 0708=00 07A8=00 07A9=00
1620	inject	00E7=D6 002A=A9 002C=3D 001F=EC 002D=90 001C=DC 0020=D0 04F1=00 04FA=30 04FB=3D 04FC=3E 04FD=3F 0720=00 0721=00 0722=00 0723=00 0708=00 07A8=00 07A9=00
1680	inject	00E7=12 002A=A7 002C=33 001F=EC 002D=90 001C=DC 0020=D0 04F1=00 04FA=30 04FB=3D 04FC=3E 04FD=3F 0720=00 0721=00 0722=00 0723=00 0708=00 07A8=00 07A9=00
1740	inject	00E7=4E 002A=A7 002C=33 001F=EC 002D=90 001C=DC 0020=D0 04F1=00 04FA=30 04FB=3D 04FC=3E 04FD=3F 0720=00 0721=00 0722=00 0723=00 0708=00 07A8=00 07A9=00
1800	inject	00E7=8A 002A=A7 002C=33 001F=EC 002D=90 001C=DC 0020=D0 04F1=00 04FA=30 04FB=3D 04FC=3E 04FD=3F 0720=00 0721=00 0722=00 0723=00 0708=00 07A8=00 07A9=00
1860	inject	00E7=C6 002A=A7 002C=33 001F=EC 002D=90 001C=DC 0020=D0 04F1=00 04FA=30 04FB=3D 04FC=3E 04FD=3F 0720=00 0721=00 0722=00 0723=00 0708=00 07A8=00 07A9=00
1920	inject	00E7=02 002A=A9 002C=3D 001F=EC 002D=90 001C=DC 0020=DE 04F1=00 04FA=30 04FB=3D 04FC=3E 04FD=3F 0720=00 0721=00 0722=00 0723=00 0708=00 07A8=00 07A9=00
1980	inject	00E7=2C 002A=C8 002C=89 001F=00 002D=D3 001C=42 0020=19 04F1=01 04FA=42 04FB=47 04FC=35 04FD=40 0720=56 0721=1D 0722=55 0723=CC 0708=00 07A8=00 07A9=00
2040	inject	00E7=5F 002A=0C 002C=1D 001F=05 002D=B1 001C=00 0020=06 04F1=01 04FA=42 04FB=47 04FC=35 04FD=40 0720=69 0721=52 0722=5D 0723=40 0708=EA 07A8=1E 07A9=1E
2100	inject	00E7=9B 002A=68 002C=00 001F=80 002D=00 001C=00 0020=80 04F1=01 04FA=42 04FB=47 04FC=35 04FD=40 0720=70 0721=54 0722=67 0723=42 0708=B2 07A8=16 07A9=8C
2160	inject	00E7=D7 002A=A4 002C=00 001F=00 002D=00 001C=04 0020=00 04F1=01 04FA=42 04FB=47 04FC=35 04FD=40 0720=76 0721=36 0722=6F 0723=DD 0708=7A 07A8=64 07A9=64
2220	inject	00E7=13 002A=A9 002C=00 001F=00 002D=00 001C=00 0020=00 04F1=01 04FA=42 04FB=47 04FC=35 04FD=40 0720=7B 0721=3A 0722=71 0723=3C 0708=42 07A8=0F 07A9=B4
2280	inject	00E7=4F 002A=06 002C=1D 001F=05 002D=B1 001C=00 0020=06 04F1=01 04FA=42 04FB=47 04FC=35 04FD=40 0720=81 0721=41 0722=77 0723=3C 0708=0A 07A8=EC 07A9=EC
2340	route	00E7=8B 002A=A3 002C=1F 001F=34 002D=90 001C=40 0020=78 04F1=01 04FA=42 04FB=47 04FC=35 04FD=40 0720=86 0721=49 0722=7F 0723=DB 0708=D2 07A8=07 07A9=14
2400	route	00E7=C7 002A=4D 002C=2B 001F=74 002D=8E 001C=79 0020=98 04F1=01 04FA=42 04FB=47 04FC=35 04FD=40 0720=8B 0721=4E 0722=81 0723=DD 0708=9A 07A8=1D 07A9=1B
2460	route	00E7=03 002A=A3 002C=1F 001F=3C 002D=90 001C=40 0020=80 04F1=01 04FA=42 04FB=47 04FC=35 04FD=40 0720=69 0721=50 0722=5B 0723=3E 0708=62 07A8=0B 07A9=17
2520	route	00E7=3F 002A=E8 002C=F4 001F=00 002D=01 001C=00 0020=00 04F1=01 04FA=42 04FB=47 04FC=35 04FD=40 0720=6E 0721=50 0722=63 0723=3E 0708=2A 07A8=15 07A9=13
2580	route	00E7=7B 002A=00 002C=04 001F=05 002D=00 001C=00 0020=06 04F1=01 04FA=42 04FB=47 04FC=35 04FD=40 0720=74 0721=34 0722=6B 0723=DC 0708=F2 07A8=78 07A9=78
2640	route	00E7=B7 002A=F4 002C=00 001F=00 002D=00 001C=00 0020=00 04F1=01 04FA=42 04FB=47 04FC=35 04FD=40 0720=78 0721=38 0722=70 0723=DF 0708=BA 07A8=C8 07A9=0C
