frame	label	cpu_addr	value	active_expected_match	record_snapshot
694	opening_ptr_182_korean_16x16_readability_proof	$B1BF	94	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
696	opening_ptr_182_korean_16x16_readability_proof	$B1C0	95	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
698	opening_ptr_182_korean_16x16_readability_proof	$B1C1	96	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
700	opening_ptr_182_korean_16x16_readability_proof	$B1C2	00	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
702	opening_ptr_182_korean_16x16_readability_proof	$B1C3	97	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
704	opening_ptr_182_korean_16x16_readability_proof	$B1C4	98	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
706	opening_ptr_182_korean_16x16_readability_proof	$B1C5	99	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
708	opening_ptr_182_korean_16x16_readability_proof	$B1C6	9A	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
710	opening_ptr_182_korean_16x16_readability_proof	$B1C7	C0	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
712	opening_ptr_182_korean_16x16_readability_proof	$B1C8	C1	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
714	opening_ptr_182_korean_16x16_readability_proof	$B1C9	CA	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
716	opening_ptr_182_korean_16x16_readability_proof	$B1CA	00	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
718	opening_ptr_182_korean_16x16_readability_proof	$B1CB	FF	true	81 82 83 84 85 86 C8 C9 00 87 88 89 8A 8B 8C CA F8 8D 8E 8F 90 00 91 92 93 94 95 96 00 97 98 99 9A C0 C1 CA 00 FF
