frame	label	cpu_addr	value	active_expected_match	record_snapshot
694	opening_ptr_182_korean_16x16_capacity_tier2	$B1BF	98	true	81 82 83 84 85 86 87 88 89 8A 8B 8C 8D 8E 8F 90 91 92 CA F8 93 94 95 96 97 98 99 9A C0 C1 C2 C3 C4 C5 C6 C7 FF
696	opening_ptr_182_korean_16x16_capacity_tier2	$B1C0	99	true	81 82 83 84 85 86 87 88 89 8A 8B 8C 8D 8E 8F 90 91 92 CA F8 93 94 95 96 97 98 99 9A C0 C1 C2 C3 C4 C5 C6 C7 FF
698	opening_ptr_182_korean_16x16_capacity_tier2	$B1C1	9A	true	81 82 83 84 85 86 87 88 89 8A 8B 8C 8D 8E 8F 90 91 92 CA F8 93 94 95 96 97 98 99 9A C0 C1 C2 C3 C4 C5 C6 C7 FF
700	opening_ptr_182_korean_16x16_capacity_tier2	$B1C2	C0	true	81 82 83 84 85 86 87 88 89 8A 8B 8C 8D 8E 8F 90 91 92 CA F8 93 94 95 96 97 98 99 9A C0 C1 C2 C3 C4 C5 C6 C7 FF
702	opening_ptr_182_korean_16x16_capacity_tier2	$B1C3	C1	true	81 82 83 84 85 86 87 88 89 8A 8B 8C 8D 8E 8F 90 91 92 CA F8 93 94 95 96 97 98 99 9A C0 C1 C2 C3 C4 C5 C6 C7 FF
704	opening_ptr_182_korean_16x16_capacity_tier2	$B1C4	C2	true	81 82 83 84 85 86 87 88 89 8A 8B 8C 8D 8E 8F 90 91 92 CA F8 93 94 95 96 97 98 99 9A C0 C1 C2 C3 C4 C5 C6 C7 FF
706	opening_ptr_182_korean_16x16_capacity_tier2	$B1C5	C3	true	81 82 83 84 85 86 87 88 89 8A 8B 8C 8D 8E 8F 90 91 92 CA F8 93 94 95 96 97 98 99 9A C0 C1 C2 C3 C4 C5 C6 C7 FF
708	opening_ptr_182_korean_16x16_capacity_tier2	$B1C6	C4	true	81 82 83 84 85 86 87 88 89 8A 8B 8C 8D 8E 8F 90 91 92 CA F8 93 94 95 96 97 98 99 9A C0 C1 C2 C3 C4 C5 C6 C7 FF
710	opening_ptr_182_korean_16x16_capacity_tier2	$B1C7	C5	true	81 82 83 84 85 86 87 88 89 8A 8B 8C 8D 8E 8F 90 91 92 CA F8 93 94 95 96 97 98 99 9A C0 C1 C2 C3 C4 C5 C6 C7 FF
712	opening_ptr_182_korean_16x16_capacity_tier2	$B1C8	C6	true	81 82 83 84 85 86 87 88 89 8A 8B 8C 8D 8E 8F 90 91 92 CA F8 93 94 95 96 97 98 99 9A C0 C1 C2 C3 C4 C5 C6 C7 FF
714	opening_ptr_182_korean_16x16_capacity_tier2	$B1C9	C7	true	81 82 83 84 85 86 87 88 89 8A 8B 8C 8D 8E 8F 90 91 92 CA F8 93 94 95 96 97 98 99 9A C0 C1 C2 C3 C4 C5 C6 C7 FF
716	opening_ptr_182_korean_16x16_capacity_tier2	$B1CA	FF	true	81 82 83 84 85 86 87 88 89 8A 8B 8C 8D 8E 8F 90 91 92 CA F8 93 94 95 96 97 98 99 9A C0 C1 C2 C3 C4 C5 C6 C7 FF
