frame	label	category	rom_hit	cpu_addr	value	record_cpu_range	expected_bytes	context	active_expected_match	record_snapshot
358	padding_pad_ff_rom_071a4_candidate_82	능력치	ROM+0x071A4	$B192	9F	$B192-$B19C	87 FF FF	82 00 9F B4 87 FF FF A6	true	9F B4 87 FF FF A6 83 CA F8 F9 00
360	padding_pad_ff_rom_071a4_candidate_82	능력치	ROM+0x071A4	$B193	B4	$B192-$B19C	87 FF FF	00 9F B4 87 FF FF A6 83	true	9F B4 87 FF FF A6 83 CA F8 F9 00
362	padding_pad_ff_rom_071a4_candidate_82	능력치	ROM+0x071A4	$B194	87	$B192-$B19C	87 FF FF	9F B4 87 FF FF A6 83 CA	true	9F B4 87 FF FF A6 83 CA F8 F9 00
364	padding_pad_ff_rom_071a4_candidate_82	능력치	ROM+0x071A4	$B195	FF	$B192-$B19C	87 FF FF	B4 87 FF FF A6 83 CA F8	true	9F B4 87 FF FF A6 83 CA F8 F9 00
