frame	type	cpu_addr	value	tracked_ppu_addr
6	PPUDATA	2007	00	2098
6	PPUDATA	2007	00	2099
6	PPUDATA	2007	00	209A
6	PPUDATA	2007	00	209B
6	PPUDATA	2007	00	209C
6	PPUDATA	2007	00	209D
6	PPUDATA	2007	00	209E
6	PPUDATA	2007	00	209F
6	PPUDATA	2007	00	20A0
6	PPUDATA	2007	00	20A1
6	PPUDATA	2007	00	20A2
6	PPUDATA	2007	00	20A3
6	PPUDATA	2007	00	20A4
6	PPUDATA	2007	00	20A5
6	PPUDATA	2007	00	20A6
6	PPUDATA	2007	00	20A7
6	PPUDATA	2007	00	20A8
6	PPUDATA	2007	00	20A9
6	PPUDATA	2007	00	20AA
6	PPUDATA	2007	00	20AB
6	PPUDATA	2007	00	20AC
6	PPUDATA	2007	00	20AD
6	PPUDATA	2007	00	20AE
6	PPUDATA	2007	00	20AF
6	PPUDATA	2007	00	20B0
6	PPUDATA	2007	00	20B1
6	PPUDATA	2007	00	20B2
6	PPUDATA	2007	00	20B3
6	PPUDATA	2007	00	20B4
6	PPUDATA	2007	00	20B5
6	PPUDATA	2007	00	20B6
6	PPUDATA	2007	00	20B7
6	PPUDATA	2007	00	20B8
6	PPUDATA	2007	00	20B9
6	PPUDATA	2007	00	20BA
6	PPUDATA	2007	00	20BB
6	PPUDATA	2007	00	20BC
6	PPUDATA	2007	00	20BD
6	PPUDATA	2007	00	20BE
6	PPUDATA	2007	00	20BF
6	PPUDATA	2007	00	20C0
6	PPUDATA	2007	00	20C1
6	PPUDATA	2007	00	20C2
6	PPUDATA	2007	00	20C3
6	PPUDATA	2007	00	20C4
6	PPUDATA	2007	00	20C5
6	PPUDATA	2007	00	20C6
6	PPUDATA	2007	00	20C7
6	PPUDATA	2007	00	20C8
6	PPUDATA	2007	00	20C9
6	PPUDATA	2007	00	20CA
6	PPUDATA	2007	00	20CB
6	PPUDATA	2007	00	20CC
6	PPUDATA	2007	00	20CD
6	PPUDATA	2007	00	20CE
6	PPUDATA	2007	00	20CF
6	PPUDATA	2007	00	20D0
6	PPUDATA	2007	00	20D1
6	PPUDATA	2007	00	20D2
6	PPUDATA	2007	00	20D3
6	PPUDATA	2007	00	20D4
6	PPUDATA	2007	00	20D5
6	PPUDATA	2007	00	20D6
6	PPUDATA	2007	00	20D7
6	PPUDATA	2007	00	20D8
6	PPUDATA	2007	00	20D9
6	PPUDATA	2007	00	20DA
6	PPUDATA	2007	00	20DB
6	PPUDATA	2007	00	20DC
6	PPUDATA	2007	00	20DD
6	PPUDATA	2007	00	20DE
6	PPUDATA	2007	00	20DF
6	PPUDATA	2007	00	20E0
6	PPUDATA	2007	00	20E1
6	PPUDATA	2007	00	20E2
6	PPUDATA	2007	00	20E3
6	PPUDATA	2007	00	20E4
6	PPUDATA	2007	00	20E5
6	PPUDATA	2007	00	20E6
6	PPUDATA	2007	00	20E7
6	PPUDATA	2007	00	20E8
6	PPUDATA	2007	00	20E9
6	PPUDATA	2007	00	20EA
6	PPUDATA	2007	00	20EB
6	PPUDATA	2007	00	20EC
6	PPUDATA	2007	00	20ED
6	PPUDATA	2007	00	20EE
6	PPUDATA	2007	00	20EF
6	PPUDATA	2007	00	20F0
6	PPUDATA	2007	00	20F1
6	PPUDATA	2007	00	20F2
6	PPUDATA	2007	00	20F3
6	PPUDATA	2007	00	20F4
6	PPUDATA	2007	00	20F5
6	PPUDATA	2007	00	20F6
6	PPUDATA	2007	00	20F7
6	PPUDATA	2007	00	20F8
6	PPUDATA	2007	00	20F9
6	PPUDATA	2007	00	20FA
6	PPUDATA	2007	00	20FB
6	PPUDATA	2007	00	20FC
6	PPUDATA	2007	00	20FD
6	PPUDATA	2007	00	20FE
6	PPUDATA	2007	00	20FF
6	PPUDATA	2007	00	2100
6	PPUDATA	2007	00	2101
6	PPUDATA	2007	00	2102
6	PPUDATA	2007	00	2103
6	PPUDATA	2007	00	2104
6	PPUDATA	2007	00	2105
6	PPUDATA	2007	00	2106
6	PPUDATA	2007	00	2107
6	PPUDATA	2007	00	2108
6	PPUDATA	2007	00	2109
