frame	phase	route	buttons	writes
1560	inject	select_down_a	B	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
1620	inject	start_right_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
1680	inject	start_right_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
1740	inject	start_right_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
1800	inject	start_right_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
1860	inject	start_right_a	B	0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
1920	inject	select_right_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
1980	inject	select_right_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2040	inject	select_right_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
2100	inject	select_right_a		0x0502=0x3C,0x0503=0x3E,0x0506=0x01,0x0508=0x9C,0x0509=0x42,0x0700=0x82,0x0701=0x0C,0x0702=0x0C,0x0706=0x00,0x0707=0x6E,0x071F=0x01
