frame	address	value	pc	text_1a	y
642	71A5	23	9539	0050	01
642	71A6	00	953F	0050	01
642	71A7	00	9545	0050	01
642	71A8	20	954C	0050	20
642	71A9	00	9553	0050	20
642	71AA	00	9553	0050	1F
642	71AB	00	9553	0050	1E
642	71AC	00	9553	0050	1D
642	71AD	00	9553	0050	1C
642	71AE	00	9553	0050	1B
642	71AF	00	9553	0050	1A
642	71B0	00	9553	0050	19
642	71B1	00	9553	0050	18
642	71B2	00	9553	0050	17
642	71B3	00	9553	0050	16
642	71B4	00	9553	0050	15
642	71B5	00	9553	0050	14
642	71B6	00	9553	0050	13
642	71B7	00	9553	0050	12
642	71B8	00	9553	0050	11
642	71B9	00	9553	0050	10
642	71BA	00	9553	0050	0F
642	71BB	00	9553	0050	0E
642	71BC	00	9553	0050	0D
642	71BD	00	9553	0050	0C
642	71BE	00	9553	0050	0B
642	71BF	00	9553	0050	0A
642	71C0	00	9553	0050	09
642	71C1	00	9553	0050	08
642	71C2	00	9553	0050	07
642	71C3	00	9553	0050	06
642	71C4	00	9553	0050	05
642	71C5	00	9553	0050	04
642	71C6	00	9553	0050	03
642	71C7	00	9553	0050	02
642	71C8	00	9553	0050	01
642	721E	AC	955A	0050	00
642	71C9	23	9539	0050	00
642	71CA	20	953F	0050	00
642	71CB	00	9545	0050	00
642	71CC	20	954C	0050	20
642	71CD	00	9553	0050	20
642	71CE	00	9553	0050	1F
642	71CF	00	9553	0050	1E
642	71D0	00	9553	0050	1D
642	71D1	00	9553	0050	1C
642	71D2	00	9553	0050	1B
642	71D3	00	9553	0050	1A
642	71D4	00	9553	0050	19
642	71D5	00	9553	0050	18
642	71D6	00	9553	0050	17
642	71D7	00	9553	0050	16
642	71D8	00	9553	0050	15
642	71D9	00	9553	0050	14
642	71DA	00	9553	0050	13
642	71DB	00	9553	0050	12
642	71DC	00	9553	0050	11
642	71DD	00	9553	0050	10
642	71DE	00	9553	0050	0F
642	71DF	00	9553	0050	0E
642	71E0	00	9553	0050	0D
642	71E1	00	9553	0050	0C
642	71E2	00	9553	0050	0B
642	71E3	00	9553	0050	0A
642	71E4	00	9553	0050	09
642	71E5	00	9553	0050	08
