frame	address	value	pc	text_1a	y
642	71E6	00	9553	0050	07
642	71E7	00	9553	0050	06
642	71E8	00	9553	0050	05
642	71E9	00	9553	0050	04
642	71EA	00	9553	0050	03
642	71EB	00	9553	0050	02
642	71EC	00	9553	0050	01
642	721E	D0	955A	0050	00
642	71ED	23	9539	0050	01
642	71EE	40	953F	0050	01
642	71EF	00	9545	0050	01
642	71F0	20	954C	0050	20
642	71F1	00	9553	0050	20
642	71F2	00	9553	0050	1F
642	71F3	00	9553	0050	1E
642	71F4	00	9553	0050	1D
642	71F5	00	9553	0050	1C
642	71F6	00	9553	0050	1B
642	71F7	00	9553	0050	1A
642	71F8	00	9553	0050	19
642	71F9	00	9553	0050	18
642	71FA	00	9553	0050	17
642	71FB	00	9553	0050	16
642	71FC	00	9553	0050	15
642	71FD	00	9553	0050	14
642	71FE	00	9553	0050	13
642	71FF	00	9553	0050	12
642	7200	00	9553	0050	11
642	7201	00	9553	0050	10
642	7202	00	9553	0050	0F
642	7203	00	9553	0050	0E
642	7204	00	9553	0050	0D
642	7205	00	9553	0050	0C
642	7206	00	9553	0050	0B
642	7207	00	9553	0050	0A
642	7208	00	9553	0050	09
642	7209	00	9553	0050	08
642	720A	00	9553	0050	07
642	720B	00	9553	0050	06
642	720C	00	9553	0050	05
642	720D	00	9553	0050	04
642	720E	00	9553	0050	03
642	720F	00	9553	0050	02
642	7210	00	9553	0050	01
642	721E	F4	955A	0050	00
642	7211	23	9539	0050	00
642	7212	60	953F	0050	00
642	7213	00	9545	0050	00
642	7214	20	954C	0050	20
642	7215	00	9553	0050	20
642	7216	00	9553	0050	1F
642	7217	00	9553	0050	1E
642	7218	00	9553	0050	1D
642	7219	00	9553	0050	1C
642	721A	00	9553	0050	1B
642	721B	00	9553	0050	1A
642	721C	00	9553	0050	19
642	711D	00	9553	0050	18
642	711E	00	9553	0050	17
642	711F	00	9553	0050	16
642	7120	00	9553	0050	15
642	7121	00	9553	0050	14
642	7122	00	9553	0050	13
642	7123	00	9553	0050	12
642	7124	00	9553	0050	11
642	7125	00	9553	0050	10
642	7126	00	9553	0050	0F
642	7127	00	9553	0050	0E
642	7128	00	9553	0050	0D
642	7129	00	9553	0050	0C
642	712A	00	9553	0050	0B
642	712B	00	9553	0050	0A
642	712C	00	9553	0050	09
642	712D	00	9553	0050	08
642	712E	00	9553	0050	07
642	712F	00	9553	0050	06
642	7130	00	9553	0050	05
642	7131	00	9553	0050	04
642	7132	00	9553	0050	03
642	7133	00	9553	0050	02
642	7134	00	9553	0050	01
642	721E	18	955A	0050	00
643	721D	AC	D7FE	D6FF	40
643	721D	D0	D7FE	D6FF	40
644	721D	F4	D7FE	D6FF	40
644	721D	18	D7FE	D6FF	40
646	7135	23	9596	B1A6	00
646	7136	02	959D	B1A6	00
646	7137	04	95A3	B1A6	00
646	7138	02	95A9	B1A6	00
646	7139	00	95AE	B1A6	00
646	713A	88	95B3	B1A6	00
646	721E	1E	95B7	B1A6	00
647	721D	1E	D7FE	D7D1	04
648	713B	23	9596	B1A6	01
648	713C	03	959D	B1A6	01
648	713D	04	95A3	B1A6	01
648	713E	02	95A9	B1A6	01
648	713F	00	95AE	B1A6	01
648	7140	96	95B3	B1A6	01
648	721E	24	95B7	B1A6	01
649	721D	24	D7FE	D7D1	04
650	7141	23	9596	B1A6	02
650	7142	04	959D	B1A6	02
650	7143	04	95A3	B1A6	02
650	7144	02	95A9	B1A6	02
650	7145	00	95AE	B1A6	02
650	7146	9F	95B3	B1A6	02
650	721E	2A	95B7	B1A6	02
651	721D	2A	D7FE	D7D1	04
652	7147	23	9596	B1A6	03
652	7148	05	959D	B1A6	03
652	7149	04	95A3	B1A6	03
652	714A	02	95A9	B1A6	03
652	714B	00	95AE	B1A6	03
652	714C	8B	95B3	B1A6	03
652	721E	30	95B7	B1A6	03
653	721D	30	D7FE	D7D1	04
654	714D	23	9596	B1A6	04
654	714E	06	959D	B1A6	04
654	714F	04	95A3	B1A6	04
654	7150	02	95A9	B1A6	04
654	7151	00	95AE	B1A6	04
654	7152	BB	95B3	B1A6	04
654	721E	36	95B7	B1A6	04
655	721D	36	D7FE	D7D1	04
656	7153	23	9596	B1A6	05
656	7154	07	959D	B1A6	05
656	7155	04	95A3	B1A6	05
656	7156	02	95A9	B1A6	05
656	7157	00	95AE	B1A6	05
656	7158	9A	95B3	B1A6	05
656	721E	3C	95B7	B1A6	05
657	721D	3C	D7FE	D7D1	04
658	7159	23	9596	B1A6	06
658	715A	08	959D	B1A6	06
658	715B	04	95A3	B1A6	06
658	715C	02	95A9	B1A6	06
658	715D	00	95AE	B1A6	06
658	715E	A4	95B3	B1A6	06
658	721E	42	95B7	B1A6	06
659	721D	42	D7FE	D7D1	04
660	715F	23	9596	B1A6	07
660	7160	09	959D	B1A6	07
660	7161	04	95A3	B1A6	07
660	7162	02	95A9	B1A6	07
660	7163	00	95AE	B1A6	07
660	7164	88	95B3	B1A6	07
660	721E	48	95B7	B1A6	07
661	721D	48	D7FE	D7D1	04
662	7165	23	9596	B1A6	08
662	7166	0A	959D	B1A6	08
662	7167	04	95A3	B1A6	08
662	7168	02	95A9	B1A6	08
662	7169	00	95AE	B1A6	08
662	716A	8C	95B3	B1A6	08
662	721E	4E	95B7	B1A6	08
663	721D	4E	D7FE	D7D1	04
664	716B	23	9596	B1A6	09
664	716C	0B	959D	B1A6	09
664	716D	04	95A3	B1A6	09
664	716E	02	95A9	B1A6	09
664	716F	00	95AE	B1A6	09
664	7170	98	95B3	B1A6	09
664	721E	54	95B7	B1A6	09
665	721D	54	D7FE	D7D1	04
666	7171	23	9596	B1A6	0A
666	7172	0C	959D	B1A6	0A
666	7173	04	95A3	B1A6	0A
666	7174	02	95A9	B1A6	0A
666	7175	00	95AE	B1A6	0A
666	7176	B2	95B3	B1A6	0A
666	721E	5A	95B7	B1A6	0A
667	721D	5A	D7FE	D7D1	04
668	7177	23	9596	B1A6	0B
668	7178	0D	959D	B1A6	0B
668	7179	04	95A3	B1A6	0B
668	717A	02	95A9	B1A6	0B
668	717B	00	95AE	B1A6	0B
668	717C	86	95B3	B1A6	0B
668	721E	60	95B7	B1A6	0B
669	721D	60	D7FE	D7D1	04
670	717D	23	9596	B1A6	0C
670	717E	0E	959D	B1A6	0C
670	717F	04	95A3	B1A6	0C
670	7180	02	95A9	B1A6	0C
670	7181	00	95AE	B1A6	0C
670	7182	82	95B3	B1A6	0C
670	721E	66	95B7	B1A6	0C
671	721D	66	D7FE	D7D1	04
672	7183	23	9596	B1A6	0D
672	7184	0F	959D	B1A6	0D
672	7185	04	95A3	B1A6	0D
672	7186	02	95A9	B1A6	0D
672	7187	00	95AE	B1A6	0D
672	7188	CA	95B3	B1A6	0D
672	721E	6C	95B7	B1A6	0D
673	721D	6C	D7FE	D7D1	04
676	7189	23	9596	B1A6	10
676	718A	46	959D	B1A6	10
676	718B	04	95A3	B1A6	10
676	718C	02	95A9	B1A6	10
676	718D	00	95AE	B1A6	10
676	718E	00	95B3	B1A6	10
676	721E	72	95B7	B1A6	10
677	721D	72	D7FE	D7D1	04
678	718F	23	9596	B1A6	11
678	7190	47	959D	B1A6	11
678	7191	04	95A3	B1A6	11
678	7192	02	95A9	B1A6	11
678	7193	B8	95AE	B1A6	11
678	7194	9C	95B3	B1A6	11
678	721E	78	95B7	B1A6	11
679	721D	78	D7FE	D7D1	04
680	7195	23	9596	B1A6	12
680	7196	48	959D	B1A6	12
680	7197	04	95A3	B1A6	12
680	7198	02	95A9	B1A6	12
680	7199	00	95AE	B1A6	12
680	719A	AE	95B3	B1A6	12
680	721E	7E	95B7	B1A6	12
681	721D	7E	D7FE	D7D1	04
682	719B	23	9596	B1A6	13
682	719C	49	959D	B1A6	13
682	719D	04	95A3	B1A6	13
682	719E	02	95A9	B1A6	13
682	719F	B8	95AE	B1A6	13
682	71A0	8F	95B3	B1A6	13
682	721E	84	95B7	B1A6	13
683	721D	84	D7FE	D7D1	04
684	71A1	23	9596	B1A6	14
684	71A2	4A	959D	B1A6	14
684	71A3	04	95A3	B1A6	14
684	71A4	02	95A9	B1A6	14
684	71A5	00	95AE	B1A6	14
684	71A6	83	95B3	B1A6	14
684	721E	8A	95B7	B1A6	14
685	721D	8A	D7FE	D7D1	04
686	71A7	23	9596	B1A6	15
686	71A8	4B	959D	B1A6	15
686	71A9	04	95A3	B1A6	15
686	71AA	02	95A9	B1A6	15
686	71AB	00	95AE	B1A6	15
686	71AC	85	95B3	B1A6	15
686	721E	90	95B7	B1A6	15
687	721D	90	D7FE	D7D1	04
688	71AD	23	9596	B1A6	16
688	71AE	4C	959D	B1A6	16
688	71AF	04	95A3	B1A6	16
688	71B0	02	95A9	B1A6	16
688	71B1	00	95AE	B1A6	16
688	71B2	A4	95B3	B1A6	16
688	721E	96	95B7	B1A6	16
689	721D	96	D7FE	D7D1	04
690	71B3	23	9596	B1A6	17
690	71B4	4D	959D	B1A6	17
690	71B5	04	95A3	B1A6	17
690	71B6	02	95A9	B1A6	17
690	71B7	B8	95AE	B1A6	17
690	71B8	9C	95B3	B1A6	17
690	721E	9C	95B7	B1A6	17
691	721D	9C	D7FE	D7D1	04
692	71B9	23	9596	B1A6	18
692	71BA	4E	959D	B1A6	18
692	71BB	04	95A3	B1A6	18
692	71BC	02	95A9	B1A6	18
692	71BD	00	95AE	B1A6	18
692	71BE	AE	95B3	B1A6	18
692	721E	A2	95B7	B1A6	18
693	721D	A2	D7FE	D7D1	04
694	71BF	23	9596	B1A6	19
694	71C0	4F	959D	B1A6	19
694	71C1	04	95A3	B1A6	19
694	71C2	02	95A9	B1A6	19
694	71C3	B8	95AE	B1A6	19
694	71C4	86	95B3	B1A6	19
694	721E	A8	95B7	B1A6	19
695	721D	A8	D7FE	D7D1	04
696	71C5	23	9596	B1A6	1A
696	71C6	50	959D	B1A6	1A
696	71C7	04	95A3	B1A6	1A
696	71C8	02	95A9	B1A6	1A
696	71C9	00	95AE	B1A6	1A
696	71CA	00	95B3	B1A6	1A
696	721E	AE	95B7	B1A6	1A
697	721D	AE	D7FE	D7D1	04
698	71CB	23	9596	B1A6	1B
698	71CC	51	959D	B1A6	1B
698	71CD	04	95A3	B1A6	1B
698	71CE	02	95A9	B1A6	1B
698	71CF	00	95AE	B1A6	1B
698	71D0	93	95B3	B1A6	1B
698	721E	B4	95B7	B1A6	1B
699	721D	B4	D7FE	D7D1	04
700	71D1	23	9596	B1A6	1C
700	71D2	52	959D	B1A6	1C
700	71D3	04	95A3	B1A6	1C
700	71D4	02	95A9	B1A6	1C
700	71D5	00	95AE	B1A6	1C
700	71D6	B2	95B3	B1A6	1C
700	721E	BA	95B7	B1A6	1C
701	721D	BA	D7FE	D7D1	04
702	71D7	23	9596	B1A6	1D
702	71D8	53	959D	B1A6	1D
702	71D9	04	95A3	B1A6	1D
702	71DA	02	95A9	B1A6	1D
702	71DB	00	95AE	B1A6	1D
702	71DC	9D	95B3	B1A6	1D
702	721E	C0	95B7	B1A6	1D
703	721D	C0	D7FE	D7D1	04
704	71DD	23	9596	B1A6	1E
704	71DE	54	959D	B1A6	1E
704	71DF	04	95A3	B1A6	1E
704	71E0	02	95A9	B1A6	1E
704	71E1	00	95AE	B1A6	1E
704	71E2	AE	95B3	B1A6	1E
704	721E	C6	95B7	B1A6	1E
705	721D	C6	D7FE	D7D1	04
706	71E3	23	9596	B1A6	1F
706	71E4	55	959D	B1A6	1F
706	71E5	04	95A3	B1A6	1F
706	71E6	02	95A9	B1A6	1F
706	71E7	00	95AE	B1A6	1F
706	71E8	95	95B3	B1A6	1F
706	721E	CC	95B7	B1A6	1F
707	721D	CC	D7FE	D7D1	04
708	71E9	23	9596	B1A6	20
708	71EA	56	959D	B1A6	20
708	71EB	04	95A3	B1A6	20
708	71EC	02	95A9	B1A6	20
708	71ED	00	95AE	B1A6	20
708	71EE	AE	95B3	B1A6	20
708	721E	D2	95B7	B1A6	20
709	721D	D2	D7FE	D7D1	04
710	71EF	23	9596	B1A6	21
710	71F0	57	959D	B1A6	21
710	71F1	04	95A3	B1A6	21
710	71F2	02	95A9	B1A6	21
710	71F3	B8	95AE	B1A6	21
710	71F4	93	95B3	B1A6	21
710	721E	D8	95B7	B1A6	21
711	721D	D8	D7FE	D7D1	04
712	71F5	23	9596	B1A6	22
712	71F6	58	959D	B1A6	22
712	71F7	04	95A3	B1A6	22
712	71F8	02	95A9	B1A6	22
712	71F9	00	95AE	B1A6	22
712	71FA	84	95B3	B1A6	22
712	721E	DE	95B7	B1A6	22
713	721D	DE	D7FE	D7D1	04
714	71FB	23	9596	B1A6	23
714	71FC	59	959D	B1A6	23
714	71FD	04	95A3	B1A6	23
714	71FE	02	95A9	B1A6	23
714	71FF	00	95AE	B1A6	23
714	7200	CA	95B3	B1A6	23
714	721E	E4	95B7	B1A6	23
715	721D	E4	D7FE	D7D1	04
